STARTUP;STARTUP WEBSITE;IDOFFRE;POSTE;CONTRAT;SALAIRE;DIPLOME;EXPERIENCE;TRAVAIL;DESCRIPTION
Devoteam G Cloud;https://gcloud.devoteam.com/;1861;Ingénieur VOIP H/F;CDI ;;Bac +5 / Master;> 5 ans;Télétravail partiel possible;"Rejoignez notre équipe en tant qu’Ingénieur Réseaux et Télécoms expert en téléphonie.
Rattaché(e) au responsable technique, vous intervenez en Avant-Vente et en soutien des chefs de projets pour valider les solutions techniques. Vous aurez à designer, préparer les équipements et installer sur site client les produits et solutions cibles.

Vous êtes garant(e) :

De l’analyse de l’existant en terme d’infrastructure et de fonctionnalités
De la définition de la méthodologie de déploiement et du planning prévisionnel
Du déploiement de la solution , de son paramétrage et de la validation du bon fonctionnement
De la formation de l’administrateur à la prise en main de la console
De participer à la rédaction et à la complétude des livrables"
Devoteam G Cloud;https://gcloud.devoteam.com/;1862;Data Engineer Expérimenté - H/F;CDI ;;;;Télétravail partiel possible;"Tu auras pour mission d’accompagner les grands comptes et les PME dans leurs transformation digitale par la mise en place et l’encadrement de projets data avec Google Cloud Platform et l’écosystème solutions open source associé.

Intégré(e) à une équipe d’experts techniques, tu auras pour missions de :

Analyser les besoins clients

Animer des ateliers afin d’étudier et cadrer les besoins clients
Préconiser les solutions et architectures cibles
Définir les méthodologies de déploiement et plans de migration
Rédiger les dossiers d’architecture et spécifications techniques

Construire les architectures de données

Concevoir et mettre en place des systèmes de données résilients et sécurisés (data warehouse, data lake, systèmes temps-réels)
Construire et déployer les pipelines de données (ETL / ELT)
Assurer la migration des données vers les nouveaux environnements

Analyser les données

Analyser les données sources afin d’identifier et évaluer des cas d’usage métier
Mettre en oeuvre des outils de Business Intelligence et visualisation (Looker, DataStudio…)

Accompagner et former

Assurer une veille technologique continue sur les solutions cloud
Accompagner et former les équipes clients aux méthodes et concepts du cloud

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif de devenir certifié Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1863;Data Engineer H/F;Stage ;;Bac +5 / Master;> 6 mois;;"Envie de participer à la conception et la mise en place des projets clients innovants (BI, Big Data, IoT et/ou Machine Learning) ? Nous te proposons un poste de Stagiaire Data Engineer ou tu utiliseras les dernières technologies Google Cloud Platform et Open Source.

Tu feras partie des référents techniques sur les technologies Google de traitement et d’analyse de la donnée.

Tu resteras en veille des solutions concurrentes et de la complémentarité des solutions Google avec d’autres technologies.

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif de devenir certifié Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1864;Ingénieur Système, Réseau et Sécurité H/F;Stage ;;Bac +5 / Master;> 6 mois;Télétravail partiel possible;"Tu es technophile, curieux(se) et passionné(e) ? Tu désires rejoindre un environnement de travail dynamique et stimulant ? Tu souhaites t’investir et contribuer à des projets d’envergure ?

Nous recherchons un(e) stagiaire Ingénieur Système, Réseau, sécurité

Tu seras en charge d’accompagner nos clients au sein d’une équipe projet, dans le déploiement de la solution Google Cloud, G suite sur les actions suivantes :

Déploiement d’une infrastructure sur GCP pour les outils de migration
Mise en place des outils de migration, configuration et tests
Elaboration de la stratégie de migration
Paramétrage de la console Google
Prise en compte des spécificités de l’infrastructure IT du client
Mise en place de SSO
Interconnexion Ldap
Mobile Device Management
Sécurité
Veille technologique sur les nouvelles fonctionnalités techniques de Google et sur les solutions partenaires"
Devoteam G Cloud;https://gcloud.devoteam.com/;1865;Consultant Cloud H/F;Stage ;;Bac +5 / Master;> 6 mois;Télétravail partiel possible;"Envie d’être plongé dans l’univers du Cloud où tout évolue très vite et où les perspectives d’évolutions sont considérables ? Nous te proposons un stage de fin d’études en tant que Consultant(e) Cloud ou tu intégreras des projets innovants.

Nos projets sont variés et les missions sur lesquelles tu peux intervenir aussi :

Du Move to cloud : aider nos clients à migrer leur application On Premise ou chez d’autres Cloud providers sur Google Cloud Platform
Du Go to cloud : désigner, implémenter et gérer des applications directement sur GCP

Tu assisteras nos consultants pour animer des ateliers, préconiser des solutions cibles, mettre en place et industrialiser les architectures cibles.

Tu assureras aussi une veille technologique sur les solutions Cloud.

Si tu en as la volonté, tu accompagneras et tu formeras les utilisateurs dans leurs nouveaux environnements de travail.

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif de devenir certifié Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1866;Développeur Full-Stack H/F;Stage ;;Bac +5 / Master;> 6 mois;Télétravail partiel possible;"Les développeurs du Digital Lab ont de multiples missions qui seront peut-être les tiennes demain.

Intégré(e) à nos équipes de développement, tu créeras l’application métier de demain intégrée dans l’environnement Google ou tu customiseras les outils Google : Maps, StreetView…

Quelques tâches sur lesquelles tu interviendras :

Aider le client à définir ses besoins grâce à tes conseils de qualité
Développer, développer, développer (tu es aussi là pour ça)
Monter en compétence sur les technos de demain : outils DevOps, d’intégration continue, nouvelles APis Google
Intégrer des APIs de Machine Learning dans des projets innovants
Créer des outils standardisés et les industrialiser par la suite

Notre équipe est animée par un fort esprit de cohésion. Aussi, même si chacun dispose de compétences distinctes, c’est le collectif qui nous permet de répondre aux différentes sollicitations et c’est aussi ce qui nous permet d’intervenir sur des thématiques très variées.

En cela la position de FullStack Developer est cruciale car elle permet la réalisation des projets les plus structurés, jusqu’aux idées les plus singulières directement émises par l’équipe."
Devoteam G Cloud;https://gcloud.devoteam.com/;1867;Cloud Engineer H/F;CDI ;;Bac +5 / Master;> 2 ans;Télétravail partiel possible;"Tu auras pour mission d’accompagner les grands comptes et les PME dans leurs transformation digitale par la mise en place de projets cloud avec les solutions Google Cloud Platform.

Intégré(e) à une équipe d’experts techniques, tu auras pour missions de :

Définir et déployer les architectures cloud

Animer des ateliers afin d’étudier et cadrer les besoins clients
Construire les socles techniques (sécurité, réseau, gouvernance…)
Déployer et industrialiser les architectures cibles
Conduire la migration des environnements legacy vers le cloud
Veiller à la sécurité et la fiabilité des environnements déployés

Industrialiser et opérer les environnements

Mettre en place les outils d’automatisation et de monitoring adaptés à l’environnement client
Implémenter les outils nécessaires à la mise en place des pratiques DevOps (Terraform, Ansible, Puppet, Chef, Gitlab CI, Travis CI, Cloud Build…)

Accompagner et former

Assurer une veille technologique continue sur les solutions cloud
Accompagner et former les équipes clients aux méthodes et concepts du cloud

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif de devenir certifié Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1868;Cloud Data Engineer H/F;CDI ;;Bac +5 / Master;> 2 ans;Télétravail partiel possible;"Tu auras pour mission d’accompagner les grands comptes et les PME dans leurs transformation digitale par la mise en place de projets data avec Google Cloud Platform et l’écosystème solutions open source associé.

Intégré(e) à une équipe d’experts techniques, tu auras pour missions de :

Analyser les besoins clients

Animer des ateliers afin d’étudier et cadrer les besoins clients
Préconiser les solutions et architectures cibles
Définir les méthodologies de déploiement et plans de migration
Rédiger les dossiers d’architecture et spécifications techniques

Construire les architectures de données

Concevoir et mettre en place des systèmes de données résilients et sécurisés (data warehouse, data lake, systèmes temps-réels)
Construire et déployer les pipelines de données (ETL / ELT)
Assurer la migration des données vers les nouveaux environnements

Analyser les données

Analyser les données sources afin d’identifier et évaluer des cas d’usage métier
Mettre en oeuvre des outils de Business Intelligence et visualisation (Looker, DataStudio…)

Accompagner et former

Assurer une veille technologique continue sur les solutions cloud
Accompagner et former les équipes clients aux méthodes et concepts du cloud

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif de devenir certifié Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1869;Architecte Cloud - H/F;CDI ;;Bac +5 / Master;> 3 ans;Télétravail partiel possible;"Tu auras pour mission d’accompagner les grands comptes et les PME dans leurs transformation digitale par la mise en place de projets cloud avec les solutions Google Cloud Platform.

Intégré(e) à une équipe d’experts techniques, tu auras pour missions de :

Analyser les besoins clients

Animer des ateliers afin d’étudier et cadrer les besoins clients
Préconiser les solutions et architectures cibles
Définir les méthodologies de déploiement et plans de migration
Rédiger les dossiers d’architecture et spécifications techniques

Déployer les architectures cloud

Construire les socles techniques (sécurité, réseau, gouvernance…)
Déployer et industrialiser les architectures cibles
Veiller à la sécurité et la fiabilité des environnements déployés

Industrialiser et opérer les environnements

Mettre en place les outils d’automatisation et de monitoring adaptés à l’environnement client

Accompagner et former

Assurer une veille technologique continue sur les solutions cloud
Contribuer à améliorer la base de connaissances internes, les assets techniques existants et les supports de bonnes pratiques.
Accompagner et former les équipes clients aux méthodes et concepts du cloud

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif de devenir certifié Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1870;Consultant Technique G Suite H/F;CDI ;;;;Télétravail partiel possible;"Envie d’être plongé(e) dans l’univers du Cloud où tout évolue très vite ? Nous te proposons un poste de Consultant(e) technique G Suite ou tu intégreras des projets innovants.

Nos projets sont variés et les missions sur lesquelles tu peux intervenir aussi :

Porter un expertise d’administration des plateformes G Suite auprès de nos clients
Mettre en place les infrastructures permettant la migration de données vers l’environnement G Suite.
Intégrer l’environnement G Suite avec le SI de nos clients (LDAP, SSO)
Porter l’expertise technique sur tes projets de migration documentaire vers le Cloud Google
Organiser la veille technologique au sein d’une équipe d’experts certifiés.

Tu seras accompagné(e) en interne pour monter rapidement en compétences dans l’objectif de devenir certifié Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1871;Cloud Engineer H/F;CDI ;;Bac +5 / Master;> 2 ans;Télétravail partiel possible;"Tu auras pour mission d’accompagner les grands comptes et les PME dans leurs transformation digitale par la mise en place de projets cloud avec les solutions Google Cloud Platform.

Intégré(e) à une équipe d’experts techniques, tu auras pour missions de :

Définir et déployer les architectures cloud

Animer des ateliers afin d’étudier et cadrer les besoins clients
Construire les socles techniques (sécurité, réseau, gouvernance…)
Déployer et industrialiser les architectures cibles
Conduire la migration des environnements legacy vers le cloud
Veiller à la sécurité et la fiabilité des environnements déployés

Industrialiser et opérer les environnements

Mettre en place les outils d’automatisation et de monitoring adaptés à l’environnement client
Implémenter les outils nécessaires à la mise en place des pratiques DevOps (Terraform, Ansible, Puppet, Chef, Gitlab CI, Travis CI, Cloud Build…)

Accompagner et former

Assurer une veille technologique continue sur les solutions cloud
Accompagner et former les équipes clients aux méthodes et concepts du cloud

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif d’étendre tes certifications Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1872;Cloud Data Engineer H/F;CDI ;;Bac +5 / Master;> 2 ans;Télétravail partiel possible;"Tu auras pour mission d’accompagner les grands comptes et les PME dans leurs transformation digitale par la mise en place de projets data avec Google Cloud Platform et l’écosystème solutions open source associé.

Intégré(e) à une équipe d’experts techniques, tu auras pour missions de :

Analyser les besoins clients

Animer des ateliers afin d’étudier et cadrer les besoins clients
Préconiser les solutions et architectures cibles
Définir les méthodologies de déploiement et plans de migration
Rédiger les dossiers d’architecture et spécifications techniques

Construire les architectures de données

Concevoir et mettre en place des systèmes de données résilients et sécurisés (data warehouse, data lake, systèmes temps-réels)
Construire et déployer les pipelines de données (ETL / ELT)
Assurer la migration des données vers les nouveaux environnements

Analyser les données

Analyser les données sources afin d’identifier et évaluer des cas d’usage métier
Mettre en oeuvre des outils de Business Intelligence et visualisation (Looker, DataStudio…)

Accompagner et former

Assurer une veille technologique continue sur les solutions cloud
Accompagner et former les équipes clients aux méthodes et concepts du cloud

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif d’étendre tes certifications Google sur ta practice."
Devoteam G Cloud;https://gcloud.devoteam.com/;1873;Architecte Cloud H/F;CDI ;;Bac +5 / Master;> 3 ans;Télétravail partiel possible;"Tu auras pour mission d’accompagner les grands comptes et les PME dans leurs transformation digitale par la mise en place de projets cloud avec les solutions Google Cloud Platform.

Intégré(e) à une équipe d’experts techniques, tu auras pour missions de :

Analyser les besoins clients

Animer des ateliers afin d’étudier et cadrer les besoins clients
Préconiser les solutions et architectures cibles
Définir les méthodologies de déploiement et plans de migration
Rédiger les dossiers d’architecture et spécifications techniques

Déployer les architectures cloud

Construire les socles techniques (sécurité, réseau, gouvernance…)
Déployer et industrialiser les architectures cibles
Veiller à la sécurité et la fiabilité des environnements déployés

Industrialiser et opérer les environnements

Mettre en place les outils d’automatisation et de monitoring adaptés à l’environnement client

Accompagner et former

Assurer une veille technologique continue sur les solutions cloud
Contribuer à améliorer la base de connaissances internes, les assets techniques existants et les supports de bonnes pratiques.
Accompagner et former les équipes clients aux méthodes et concepts du cloud

Tu seras accompagné(e) en interne pour monter rapidement en compétences sur GCP dans l’objectif d’étendre tes certifications Google sur ta practice."
Yubo;http://yubo.live/;1874;QA Automation Specialist;CDI ;;;;Télétravail partiel possible;"You will build the Quality Assurance team. You’ll work closely with our engineering and product teams to ensure a high quality user experience across our platform.

What you will contribute to:
Participate in testing strategy definitions
Participate in testing effort
Update and contribute to our automation framework
Create automated tests for covering our mobile applications
Investigating any tools or processes that could improve our QA workflow;
Help reproducing bugs reported by the community and find source of malfunction within the codebase
Escalate feedback to Product & Tech teams in order to help improving Yubo
Help us improve the Yubo experience!"
Yubo;http://yubo.live/;1875;Lead Backend Engineer;CDI ;Salaire : 60K €;;;Télétravail ponctuel autorisé;Yubo is a social media app with +40m users all around the world. The app aims at allowing anyone at creating groups of friends who share the same passions and interests.
Yubo;http://yubo.live/;1876;Lead DevOps / SRE;CDI ;Salaire : 60K €;> 4 ans;;Télétravail ponctuel autorisé;"As a small and fast team, we can offer a fun and challenging environment where you will instantly see the value of your contribution for our community.
Today the DevOps tasks are handled by the CTO who is looking for someone to rely on for this part. You will be in charge of optimizing the infrastructure of the Yubo backend app while promoting good practices in software delivery at Yubo.

Technologies We Use

Here’s a sneak peek of what we use:

Infrastructure:

Docker containers orchestrated with Kubernetes on Google Cloud.
Elastic Search, MongoDB, BigTable, BigQuery
Monitoring with Prometheus/Grafana
Continuous delivery with Google Cloud Build
2m+ commands per second on Redis
Android architecture: Kotlin
iOS app: Swift
Server-side: NodeJS, Express
Client-side: React, Redux, SocketCluster
Live Techno: WebRTC (C++)
Challenges
Build a scalable and stable app for millions of users
Maintain and optimize existing infrastructure
Realtime technologies such as WebRTC, websockets etc.
Technical Prerequisites
Deep knowledge in Kubernetes
Experience in improving software deliverability in a company
Good Practice / Code Quality / Code Review
Performance driven mindset
Stats

+40m of registered accounts
+15m messages sent daily
+300K hours per day of livestream"
Yubo;http://yubo.live/;1877;Experienced Software Developer (JS) - Safety Project;CDI ;;> 3 ans;;Télétravail partiel possible;"What you’ll do

Yubo safety generates unique challenges, you’ll have to build tailor-made systems that match the product and fit into the workflow of all teams involved. Your work will impact the experience of millions of users.
Our moderation engine is a complex piece of software. It’s a crucial part of Yubo and involves multiple teams.
We also handle identity verification; each country has its constraints. We need to keep up with the product’s international expansion fast pace.
The platform we are working on is intended for security specialists, it includes all the team management features necessary: planning, team hierarchy permissions, performance & quality assurance, and more.

What else you can expect:

Your role is not only to implement new features, you will have full ownership of it.
You’ll build a unique set of expertise in various skills and work with many teams from the company. In the long run, you’ll take the lead of one of the three major safety projects (moderation, identity, management).

Technologies we use

Here’s a sneak peek of what we use:

Server-side: NodeJS, Express, Typescript
Client-side: React, Redux
Databases: Elastic Search, MongoDB, BigTable, BigQuery
Infrastructure: Docker containers orchestrated with Kubernetes on Google Cloud."
Yubo;http://yubo.live/;1878;Software iOS Engineer;CDI ;;> 2 ans;;Télétravail ponctuel autorisé;"As a small and fast team, we can offer a fun and challenging environment where you will instantly see the value of your contribution for our community.

Technologies We Use

Here’s a sneak peek of what we use:

iOS architecture:

100% Swift
Clean Architecture (mainly VIPER, work in progress)
Dependency manager: CocoaPods (Texture, IGListKit, Realm, …)
Live technology: WebRTC (C++/Objective-C)

Android app: 100 % Kotlin

Server-side: NodeJS, Express

Client-side: React, Redux

Databases: Elastic Search, MongoDB, BigTable, BigQuery, Redis

Infrastructure: Docker containers orchestrated with Kubernetes on Google Cloud.

Live Techno: WebRTC (C++)

Challenges
Build a scalable and stable app for millions of users
Development of features from A to Z.
Work on technology like WebRTC, Socket…
Technical Prerequisites
Comfortable working with Git
Deep knowledge of iOS technologies
Good Practice / Code Quality / Code Review
Being iOS product oriented with deep UI/UX knowledge is very important
Stats

+25M of registered accounts
+15M messages sent daily
+100K hours per day of livestream"
Yubo;http://yubo.live/;1879;Software Android Engineer;CDI ;;> 2 ans;;Télétravail ponctuel autorisé;"As a small and fast team, we can offer a fun and challenging environment where you will instantly see the value of your contribution for our community.

Technologies We Use

Here’s a sneak peek of what we use:

Android architecture:

100 % Kotlin
Android Arch components (Room, Navigation Component, WorkManager)
Background processing: RxJava 2
Networking: Retrofit with RxJava 2 and Gson adapters
Dependency injection: Dagger 2

Clean Architecture

Modular app (data / domain / ui in each module).
Model, View, Presenter, Interactor, Repository, DataSource.
One feature, one module.
In-house dependencies: SocketCluster client, WebRTC client, Tools …

iOS app: Swift

Server-side: NodeJS, Express

Client-side: React, Redux, SocketCluster

Databases: Elastic Search, MongoDB, BigTable, BigQuery, Redis

Infrastructure: Docker containers orchestrated with Kubernetes on Google Cloud.

Live Techno: WebRTC (C++)

Challenges
Build a scalable and stable app for millions of users
Development of features from A to Z.
Work on technology like WebRTC, Socket…
Technical Prerequisites
Comfortable working with Git
Deep knowledge of Android technologies
Good Practice / Code Quality / Code Review
Being Android product oriented with deep UI/UX knowledge is very important
Stats

+25M of registered accounts
+15M messages sent daily
+100K hours per day of livestream"
Yubo;http://yubo.live/;1880;Computer Vision Engineer;CDI ;;> 2 ans;;Télétravail ponctuel autorisé;"As a small and fast team, we can offer a fun and challenging environment where you will instantly see the value of your contribution for our community.

Using our application, teens stream more than 100K hours everyday. Since user safety is our main priority, you will have to continue to deploy tools to detect any inappropriate behaviour and send signals to our safety specialists. Our users’ profiles also contain pictures and videos that needs to be processed, with additionnal steps. For example, we use deep learning to detect the presence of a face on a picture to improve authenticity of profiles.

Challenges
Stay up to date with state of the art algorithm and propose new algorithms to improve safety
Classify millions of profile images, and extract various features to ensure profiles authenticity
Classify thousands of concurrent live streams in near real time
Create your own datasets to encode domain specific knowledge on problems nobody else has
Technologies We Use
Data Science: PyData stack, Tensorflow, Fasttext
Databases: Elastic Search, MongoDB, BigTable, Redis
Infrastructure: Kubernetes on Google Cloud, with GPUs
Technical Prerequisites
Comfortable working with collaborative tools (Git, Trello, …)
Good knowledge of PyData stack, Tensorflow, and image processing
Already deployed a project to production
Stats

+30M of registered accounts
+300K hours per day of livestream
+250K pictures uploaded every day"
SOFACTO;https://www.sofacto.com/;1881;Product Owner ;CDI ;;> 3 ans;;Télétravail ponctuel autorisé;"Votre mission chez SOFACTO :

Dans le cadre de la conception, du développement et du test de nouvelles fonctionnalités de l‘application, le Product Owner supervise l’ensemble des projets liés aux évolutions du produit afin de s’assurer que les besoins clients, les contraintes liées à la plateforme sous-jacente et les process internes du cycle de développement produit sont respectés.

Le Product Owner est en contact direct avec les clients (administrateurs Système et/ou Métier, utilisateurs) et les partenaires intégrateurs pour comprendre leurs besoins, rédiger les user stories, les analyser et les prioriser. Il capte les besoins du marché et des clients et s’assure que les produits et les offres développés par l’entreprise (que soit en termes de licences et de services) sont cohérents avec ces besoins.

Il présente à la direction et aux services internes sa vision du produit à court, moyen et long terme.
Il assure une veille concurrentielle, assure la conception et le développement du produit avec l’équipe RDI et accompagne les lancements commerciaux.

Véritable chef d’orchestre, le Product Owner fluidifie les interactions au sein de l’entreprise et communique sur l’avancement du produit auprès de la direction.

Responsable de la feuille de route applicative et de la coordination des intervenants dans le cycle de vie du produit, le Product Owner est le garant du respect des principes de l’agilité. Ainsi, il anime son équipe selon la méthodologie Scrum : sprint planning, daily meeting, sprint review, sprint rétrospective…

Pour résumer vos missions sont les suivantes :

Définir et communiquer la vision du produit
Alimenter le backlog du produit
Rédiger des User Stories
Vos activités principales sont :
Réaliser des études de marché (client, fournisseur, concurrence)
Assurer une veille sur les technologies, les produits et les comportements
Décliner une offre de produits et de services en termes de fonctionnalités et de positionnement (cible client, roadmap produit, prix, business plan, communication, distribution)
Etudier les étapes de mise en œuvre pour chaque fonctionnalité
Orienter et superviser les développements et phases de recettes fonctionnelles et mettre en place des actions correctives en cas de dysfonctionnement
Contribuer à la réalisation et validation des schémas d’architecture technique
Spécifier les fonctionnalités du produit
Suivre l’évolution des ventes pour adapter la stratégie produit
Participer à l’élaboration de la stratégie commerciale
Identifier les pistes d’amélioration de l’offre en intégrant des solutions innovantes
Organiser des « Démos Produit » pour partager les nouveautés fonctionnelles
Participer à la rédaction des Release Notes et à l’évolution de la base de connaissance et, plus généralement, à la documentation produit, interne et externe, en lien avec le service Knowledge
Vos activités complémentaires sont :
Accompagner le lancement commercial et apporter un support technique et commercial à l’équipe commerciale et marketing
Mettre en place l’agilité et évangéliser en interne sur la culture produit et les méthodologies mise en place.
Réaliser des formations autour de l’offre
Mettre en œuvre des partenariats technologiques afin de développer le chiffre d’affaires"
SOFACTO;https://www.sofacto.com/;1882;Développeur Salesforce ;CDI ;;> 3 ans;;Télétravail ponctuel autorisé;"Votre mission chez SOFACTO :

Le développeur full-stack participe à l’évolution de l’application, sous la responsabilité du tech-lead. Il maintient la qualité, la sécurité et la documentation du code, en suivant les règles et bonnes pratiques mises en place.

Comme les autres membres de l’équipe OPS, le développeur full-stack contribue à l’enrichissement du backlog Sofacto en créant des Work-Items (WK) pour spécifier des correctifs de dysfonctionnements et des améliorations fonctionnelles qu’il a été amené à déceler.

Il contribue à la documentation de l’application Sofacto, par la création d’articles ou de docs de spécifications techniques.

Vos activités principales sont :

. Analyser un besoin et modéliser une fonction ou un correctif.
. Développer de nouvelles fonctions ou corriger des fonctions existantes.
. Rédiger les Tests Unitaires nécessaires pour garantir le code coverage.
. Mettre à jour la documentation.
. Mettre en œuvre l’intégration continue.
. Suivre les processus de déploiement, de livraison et de partage du code.
. Respecter les règles d’assurance qualité et de sécurité pour maintenance du code existant
. Contribuer à la roadmap applicative et respecter le calendrier de développement des releases.
. Gérer un projet de développement spécifique pour un client ou un partenaire intégrateur.
. Rédiger des documentations techniques pour les partenaires intégrateurs ou les clients.
. Effectuer une veille technologique et en partager l’essentiel au travers de brown bags

Vos activités complémentaires sont :

. Assurer le support de NIV3.
. Participer à des entretiens de recrutement des développeurs full-stack.
. Former les nouveaux développeurs full-stack.
. Animer les webinars avec les clients et/ou les partenaires intégrateurs"
Teester;https://www.teester.com/;1883;Developer NodeJS / React en CDI (H/F);CDI ;;Bac +3;> 5 ans;Télétravail partiel possible;"Ton nouveau Job de rêve :

Mission :

Au sein de l’équipe technique de Teester tu apporteras ton expertise technique pour maintenir et développer nos solutions codées en JS sur plus de 80 repos actifs tout en amenant ta culture et ton sens de l’organisation en lien avec le CTO.
Tu interviendras principalement coté Back, tu es capable de maintenir et de faire évoluer une importante base de code écrite en Javascript: NodeJS, Express, VueJS et React.
Tu seras amené à travailler sur des applications qui prendront beaucoup de charge et qui nécessitent une haute disponibilité. Chaque ligne de code compte, place à la qualité !"
Teester;https://www.teester.com/;1884;Testeur / QA;CDI ;;Bac +5 / Master;> 2 ans;Télétravail partiel possible;"En lien avec le product owner et la team tech en charge du développement de nos produits, tu seras responsable de :

Mettre en en place et maintenir une suite de tests pour nos produits.
Exécuter régulièrement des tests pour assurer que nos produits répondent aux spécifications techniques et utilisateur.
Identifier rapidement et précisément les bugs pour les remonter à l’équipe technique.
Traquer et localiser les bugs en production et en établir un suivi.
Démocratiser les tests automatisés au sein de Teester.
Effectuer des reportings sur les évolutions des tests.
Organiser ce poste pour le faire rayonner !"
Teester;https://www.teester.com/;1885;DevOps;CDI ;;Bac +5 / Master;;Télétravail partiel possible;"Nos services sont déployés sur Google Cloud Platform en utilisant Kubernetes (K8s). En binôme avec notre SRE, tu seras garant du lien entre le soft et l’infra.

Tu maintiendras et fera évoluer nos pipelines (CI/CD) gérées depuis Gitlab.
Tu seras responsable du monitoring de nos micro-services.
Tu t’assureras de la scalabilité de nos services pour optimiser la charge serveur (cpu/ram).
En lien avec le PO et le lead dev tu anticiperas les évolutions des produits Teester."
Artur'In;http://www.arturin.com/;1886;Growth - Traffic Manager (Product Team);CDI ;;;;Télétravail ponctuel autorisé;"Proposer, concevoir et déployer des tests de campagne facebook ads pour améliorer les performances de notre produit (choix des populations tests, création des audiences, visuels et copywriting)
Suivre, analyser et effectuer le reporting des résultats de ces tests en interne.
Créer des scénarios pour permettre l’automatisation des campagnes Facebook de nos clients
Suivre et optimiser les performances des campagnes Facebook des clients
Gérer des campagnes de nos clients premium, dont les budgets sont les plus élevés
Être responsable de la coordination du projet Boost’In Facebook (accompagnement des équipes sales et customer success etc.)"
Artur'In;http://www.arturin.com/;1887;Traffic Manager (Product Team) - Stage;Stage (6 mois);;Bac +5 / Master;> 6 mois;Télétravail partiel possible;"Contexte
Artur’In développe, entre autres, une solution de publicité payante à destination des TPE et PME qui n’ont pas les compétences, le temps ou les moyens de s’en occuper.

Notre technologie (Boost’In) nous permet aujourd’hui de gérer les campagnes publicitaires Facebook et Google de plus de 500 clients de manière scalable et automatisée.

Afin de proposer des campagnes Facebook et Google satisfaisantes pour chacun de nos clients, nous recherchons le traffic manager référent au suivi des performances des campagnes publicitaires.

Poste
Tu seras donc en charge :

de suivre, analyser et effectuer le reporting des comptes clients Boost’in demandant une attention particulière (performances des campagnes publicitaires à améliorer, optimisations du processus de connexion des comptes à notre plateforme)
d’être force de proposition quant aux actions à apporter sur les campagnes publicitaires des clients
de coordonner les actions à mettre en place pour les clients entre l’équipe de service client et l’équipe produit."
Artur'In;http://www.arturin.com/;1888;Marketing Growth Data Analyst H/F (stage);Stage (4 mois);;;;Télétravail ponctuel autorisé;"Contexte :

L’objectif de l’équipe growth est simple : augmenter le revenu d’Artur’In au travers de stratégies d’acquisition innovantes.
L’équipe se compose de 4 personnes : un head of growth, deux growth hackers et un(e) growth data analyst. Aujourd’hui, cette équipe génère des opportunités pour plus de 30 commerciaux. Nous fonctionnons dans un mode lean, en lien avec les équipes marketing-branding, commerciales et marketing-field.

Pour nous accompagner dans la croissance d’Artur’In, nous recherchons un(e) growth-data-analyst. Nos growth hackers génèrent des leads au travers de formulaires en ligne : ton rôle sera de garantir que ces leads arrivent dans les mains de nos équipes commerciales, d’optimiser le traitement de ces leads et de proposer des analyses régulières pour améliorer les performances de l’équipe.

Poste :

Aide-nous à exécuter une stratégie growth-hacking à la perfection grâce à tes analyses !

Manager le pipe d’opportunités commerciales :

Responsable de la gestion et de l’optimisation des données marketing (base de données, mise en place de système de tracking… )
Suivi et optimisation de Pardot notre outil de marketing
Gestion des imports d’opportunités commerciales et optimisation de la communication entre Pardot et Salesforce (notre CRM)
Optimisation du traitement des leads via de l’automatisation ou un système de priorisation

Reporting :

Reporting pour accompagner les growth-hackers sur les plateformes de publicité digitale (Facebook Ads / LinkedIn Ads / Google Ads / etc.)
Analyses ponctuelles et régulières (analyse des performances par audience, par exemple)
Formulation des recommandations aux growth-hackers

Data-Scraping :

Identifier des sources de données utiles aux équipes growth et commerciales
Scraping des données et import dans les outils (CRM / plateformes PPC)"
